Name,Publisher,Year,Genre,Generation,Platform,Platform_type,Platform_company,Platform_Multi,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,D3Publisher,2006,Action,6,PS2,Traditional,Sony,Native,0.0,0.0,0.02,0.0,0.02
Toy Story Mania!,Disney Interactive Studios,2009,Misc,7,Wii,Traditional,Nintendo,Native,1.06,0.67,0.0,0.18,1.91
Crazy Taxi,Sega,2000,Racing,6,DC,Traditional,Sega,Multi,1.1,0.51,0.12,0.08,1.81
Pokemon Art Academy,Nintendo,2014,Misc,8,3DS,Portable,Nintendo,Native,0.18,0.12,0.16,0.03,0.49
Earth Seeker,Kadokawa Shoten,2011,Role-Playing,7,Wii,Traditional,Nintendo,Native,0.0,0.0,0.02,0.0,0.02
Pop'n Music Portable 2,Konami Digital Entertainment,2011,Misc,7,PSP,Portable,Sony,Native,0.0,0.0,0.06,0.0,0.06
Gegege no Kitarou: Youkai Daigekisen,Namco Bandai Games,2008,Action,7,DS,Portable,Nintendo,Native,0.0,0.0,0.06,0.0,0.06
Moon Patrol,Atari,1982,Shooter,2,2600,Traditional,Atari,Native,1.05,0.06,0.0,0.01,1.12
Song of the Deep,Insomniac Games,2016,Action,8,PC,PC,PC,Multi,0.02,0.0,0.0,0.0,0.02
Samurai Warriors Chronicles,Tecmo Koei,2011,Action,8,3DS,Portable,Nintendo,Native,0.12,0.05,0.2,0.01,0.38
Yokai Watch,Nintendo,2013,Role-Playing,8,3DS,Portable,Nintendo,Native,0.21,0.3,1.33,0.04,1.8800000000000001
Super Formation Soccer 94,Human Entertainment,1994,Sports,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.37,0.0,0.37
Nichibutsu Arcade Classics,Nichibutsu,1995,Misc,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.28,0.0,0.28
G.I. Joe: The Rise of Cobra,Electronic Arts,2009,Action,7,PSP,Portable,Sony,Multi,0.11,0.02,0.0,0.02,0.15
Tekken Tag Tournament 2,Namco Bandai Games,2012,Fighting,7,PS3,Traditional,Sony,Multi,0.28,0.33,0.13,0.14,0.8800000000000001
Star Ocean: Blue Sphere,Enix Corporation,2001,Role-Playing,4,GB,Portable,Nintendo,Native,0.0,0.0,0.14,0.0,0.14
Major League Baseball 2K12,Take-Two Interactive,2012,Sports,7,PS3,Traditional,Sony,Multi,0.18,0.0,0.0,0.01,0.19
Puzzle Quest: Challenge of the Warlords,D3Publisher,2007,Puzzle,7,PSP,Portable,Sony,Multi,0.01,0.0,0.0,0.0,0.01
Madden NFL 2005,Electronic Arts,2004,Sports,6,GC,Traditional,Nintendo,Multi,0.54,0.14,0.0,0.02,0.7000000000000001
Jinguuji Saburou DS: Akai Chou,Arc System Works,2010,Adventure,7,DS,Portable,Nintendo,Native,0.0,0.0,0.02,0.0,0.02
Shin Megami Tensei: Persona 3 (jp sales),Tecmo Koei,2006,Role-Playing,6,PS2,Traditional,Sony,Native,0.0,0.0,0.21,0.0,0.21
WCW Nitro,THQ,1998,Fighting,5,N64,Traditional,Nintendo,Multi,0.17,0.04,0.0,0.0,0.21000000000000002
JASF: Jane's Advanced Strike Fighters,Deep Silver,2011,Simulation,7,PS3,Traditional,Sony,Multi,0.07,0.03,0.0,0.02,0.12000000000000001
Inazuma Eleven Go 2: Chrono Stone,Level 5,2012,Role-Playing,8,3DS,Portable,Nintendo,Native,0.0,0.01,0.46,0.0,0.47000000000000003
Warpath: Jurassic Park,Electronic Arts,1998,Fighting,5,PS,Traditional,Sony,Native,0.15,0.1,0.0,0.02,0.27
Crossroad Crisis,Success,2000,Puzzle,5,PS,Traditional,Sony,Native,0.01,0.0,0.0,0.0,0.01
Fairytale Fights,Playlogic Game Factory,2009,Action,7,X360,Traditional,Microsoft,Multi,0.14,0.02,0.0,0.01,0.17
Medieval Moves: Deadmund's Quest,Sony Computer Entertainment,2011,Action,7,PS3,Traditional,Sony,Native,0.13,0.12,0.0,0.05,0.3
The X-Factor,Deep Silver,2010,Misc,7,PS3,Traditional,Sony,Multi,0.0,0.1,0.0,0.03,0.13
Zero Divide,Ocean,1995,Fighting,5,PS,Traditional,Sony,Native,0.03,0.02,0.0,0.0,0.05
Marc Ecko's Getting Up: Contents Under Pressure,Atari,2006,Action,6,PS2,Traditional,Sony,Native,0.03,0.02,0.0,0.01,0.060000000000000005
Colony Wars,Psygnosis,1997,Simulation,5,PS,Traditional,Sony,Native,0.24,0.16,0.0,0.03,0.43000000000000005
Deadliest Warrior: Ancient Combat,Cloud Imperium Games Corporation,2012,Fighting,7,X360,Traditional,Microsoft,Multi,0.04,0.0,0.0,0.0,0.04
The Secret World,Funcom,2012,Role-Playing,7,PC,PC,PC,Native,0.07,0.08,0.0,0.02,0.17
Arcade Hits: Frisky Tom,Hamster Corporation,2002,Action,5,PS,Traditional,Sony,Native,0.16,0.11,0.0,0.02,0.29000000000000004
FlatOut: Ultimate Carnage,Empire Interactive,2007,Racing,7,X360,Traditional,Microsoft,Multi,0.07,0.03,0.0,0.01,0.11
Dance Dance Revolution (Japan),Konami Digital Entertainment,1999,Simulation,5,PS,Traditional,Sony,Native,0.0,0.0,1.26,0.09,1.35
Atelier Meruru: Alchemist of Arland 3,Gust,2013,Role-Playing,8,PSV,Portable,Sony,Multi,0.0,0.0,0.06,0.0,0.06
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,Level 5,2009,Adventure,7,DS,Portable,Nintendo,Native,0.0,0.0,0.03,0.0,0.03
Star Ocean,Enix Corporation,1996,Role-Playing,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.23,0.0,0.23
Test Drive,Atari,2002,Racing,6,XB,Traditional,Microsoft,Multi,0.35,0.05,0.0,0.02,0.42
Petz Rescue: Wildlife Vet,Ubisoft,2008,Simulation,7,DS,Portable,Nintendo,Multi,0.35,0.0,0.0,0.03,0.38
NCAA Basketball 10,Electronic Arts,2009,Sports,7,X360,Traditional,Microsoft,Multi,0.3,0.0,0.0,0.02,0.32
Diablo III,Activision,2014,Role-Playing,8,XOne,Traditional,Microsoft,Multi,0.35,0.24,0.0,0.05,0.64
Total War: WARHAMMER,Sega,2016,Strategy,8,PC,PC,PC,Native,0.0,0.1,0.0,0.01,0.11
NickToons: Racing,Infogrames,2002,Racing,6,GBA,Portable,Nintendo,Multi,0.19,0.07,0.0,0.0,0.26
Kirby: Planet Robobot,Nintendo,2016,Action,8,3DS,Portable,Nintendo,Native,0.26,0.1,0.44,0.04,0.8400000000000001
Ninja Assault,Namco Bandai Games,2002,Shooter,6,PS2,Traditional,Sony,Native,0.05,0.04,0.0,0.01,0.09999999999999999
Corvette,TDK Mediactive,2003,Racing,6,XB,Traditional,Microsoft,Multi,0.18,0.05,0.0,0.01,0.24
F.E.A.R.,Vivendi Games,2007,Shooter,7,PS3,Traditional,Sony,Multi,0.18,0.27,0.0,0.1,0.55
Super Robot Taisen D,Banpresto,2003,Strategy,6,GBA,Portable,Nintendo,Native,0.0,0.0,0.23,0.01,0.24000000000000002
Hyperdimension Neptunia Re;Birth 2,Idea Factory International,2014,Action,8,PSV,Portable,Sony,Native,0.05,0.02,0.0,0.02,0.09000000000000001
Gun,Activision,2005,Shooter,6,GC,Traditional,Nintendo,Multi,0.14,0.04,0.0,0.0,0.18000000000000002
Leisure Suit Larry: Magna Cum Laude,Vivendi Games,2004,Adventure,6,PS2,Traditional,Sony,Multi,0.17,0.13,0.0,0.04,0.34
Iron Man 2,Sega,2010,Action,7,DS,Portable,Nintendo,Multi,0.15,0.16,0.0,0.03,0.33999999999999997
Orphen: Scion of Sorcery,Activision,2000,Role-Playing,6,PS2,Traditional,Sony,Native,0.15,0.12,0.0,0.04,0.31
Tetris DS,Nintendo,2006,Puzzle,7,DS,Portable,Nintendo,Native,0.64,0.07,1.35,0.08,2.14
Micro Machines V4,Codemasters,2006,Racing,6,PS2,Traditional,Sony,Multi,0.01,0.0,0.0,0.0,0.01
Unit 13,Sony Computer Entertainment,2012,Shooter,8,PSV,Portable,Sony,Native,0.29,0.15,0.04,0.07,0.5499999999999999
Midway's Greatest Arcade Hits,Midway Games,2001,Misc,6,GBA,Portable,Nintendo,Native,0.18,0.07,0.0,0.0,0.25
Sesame Street: Elmo's Number Journey,NewKidCo,1998,Misc,5,PS,Traditional,Sony,Multi,0.13,0.09,0.0,0.02,0.24
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Square Enix,2016,Action,8,PS4,Traditional,Sony,Multi,0.0,0.0,0.28,0.0,0.28
ESPN International Track & Field,Konami Digital Entertainment,2000,Sports,6,PS2,Traditional,Sony,Native,0.09,0.07,0.0,0.02,0.18
Tak 2: The Staff of Dreams,THQ,2004,Platform,6,GC,Traditional,Nintendo,Multi,0.26,0.07,0.0,0.01,0.34
Cabela's Big Game Hunter 2005 Adventures,Activision,2004,Sports,6,PS2,Traditional,Sony,Multi,0.28,0.21,0.0,0.07,0.56
Mad Max (2015),Warner Bros. Interactive Entertainment,2015,Action,8,PS4,Traditional,Sony,Multi,0.32,0.58,0.04,0.17,1.1099999999999999
Cooking Mama: World Kitchen,505 Games,2008,Simulation,7,Wii,Traditional,Nintendo,Native,0.51,0.28,0.01,0.08,0.88
Houshinengi,Tecmo Koei,1998,Strategy,5,PS,Traditional,Sony,Native,0.0,0.0,0.13,0.01,0.14
Tongari Boushi to Oshare na Mahou Tsukai,Konami Digital Entertainment,2011,Action,7,DS,Portable,Nintendo,Native,0.0,0.0,0.24,0.0,0.24
Tiger Woods PGA Tour 10,Electronic Arts,2009,Sports,7,X360,Traditional,Microsoft,Multi,0.39,0.2,0.0,0.06,0.6500000000000001
Bejeweled 2 Deluxe,Focus Home Interactive,2006,Puzzle,7,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
Prism: Light the Way,Eidos Interactive,2007,Puzzle,7,DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
Cars: Mater-National Championship,THQ,2007,Racing,7,DS,Portable,Nintendo,Multi,0.63,0.01,0.0,0.05,0.6900000000000001
NASCAR,Electronic Arts,2006,Racing,7,PSP,Portable,Sony,Native,0.09,0.0,0.0,0.01,0.09999999999999999
Harvest Moon: Another Wonderful Life,Marvelous Interactive,2004,Role-Playing,6,GC,Traditional,Nintendo,Native,0.19,0.05,0.0,0.01,0.25
Tetris Party Deluxe,Nintendo,2010,Puzzle,7,Wii,Traditional,Nintendo,Multi,0.34,0.17,0.02,0.05,0.5800000000000001
Frogger Beyond,Konami Digital Entertainment,2002,Platform,6,GC,Traditional,Nintendo,Multi,0.1,0.03,0.0,0.0,0.13
Team Elimination Games,Ubisoft,2009,Misc,7,Wii,Traditional,Nintendo,Native,0.08,0.0,0.0,0.01,0.09
Harvest Moon: Hero of Leaf Valley,Rising Star Games,2009,Simulation,7,PSP,Portable,Sony,Native,0.07,0.02,0.05,0.02,0.16
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Activision,2009,Shooter,7,PC,PC,PC,Multi,0.02,0.0,0.0,0.0,0.02
Pro Yakyuu Spirits 5 Kanzenban,Konami Digital Entertainment,2008,Sports,7,PS3,Traditional,Sony,Multi,0.0,0.0,0.03,0.0,0.03
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,2001,Platform,6,PS2,Traditional,Sony,Native,2.08,1.09,0.15,0.33,3.65
Etrian Mystery Dungeon,Nippon Ichi Software,2015,Role-Playing,8,3DS,Portable,Nintendo,Native,0.09,0.01,0.12,0.01,0.22999999999999998
WRC 2: FIA World Rally Championship,Ubisoft,2011,Racing,7,PC,PC,PC,Multi,0.0,0.01,0.0,0.0,0.01
Simple 1500 Series Vol. 1: The Mahjong,D3Publisher,1998,Misc,5,PS,Traditional,Sony,Native,0.0,0.0,0.99,0.07,1.06
Need for Speed: Most Wanted,Electronic Arts,2012,Racing,7,PS3,Traditional,Sony,Multi,0.71,1.51,0.06,0.61,2.8899999999999997
Tiger Woods PGA Tour 10,Electronic Arts,2009,Sports,7,PS3,Traditional,Sony,Multi,0.42,0.25,0.0,0.12,0.7899999999999999
Castlevania: The Dracula X Chronicles,Konami Digital Entertainment,2007,Platform,7,PSP,Portable,Sony,Native,0.22,0.09,0.04,0.07,0.42
Astroblast,Mattel Interactive,1981,Action,2,2600,Traditional,Atari,Native,0.29,0.02,0.0,0.0,0.31
Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom,2001,Fighting,6,DC,Traditional,Sega,Native,0.0,0.0,0.05,0.0,0.05
Total War: Attila,Sega,2015,Strategy,8,PC,PC,PC,Native,0.09,0.13,0.0,0.02,0.24
Star Wars The Clone Wars: Republic Heroes,LucasArts,2009,Action,7,PSP,Portable,Sony,Multi,0.21,0.13,0.0,0.08,0.42
Baldur's Gate: Dark Alliance,"Destination Software, Inc",2004,Role-Playing,6,GBA,Portable,Nintendo,Multi,0.02,0.01,0.0,0.0,0.03
Lovely Lisa,DHM Interactive,2007,Simulation,7,DS,Portable,Nintendo,Native,0.11,0.0,0.0,0.01,0.12
Psychic Detective,Electronic Arts,1995,Adventure,5,PS,Traditional,Sony,Native,0.01,0.0,0.0,0.0,0.01
Super Street Fighter II,Nintendo,1993,Fighting,4,SNES,Traditional,Nintendo,Multi,0.52,0.16,1.29,0.03,2.0
Pro Yakyuu Famista DS 2009,Namco Bandai Games,2009,Sports,7,DS,Portable,Nintendo,Native,0.0,0.0,0.1,0.0,0.1
Ro-Kyu-Bu! Lost Secret,Kadokawa Shoten,2013,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Fist of the North Star: Ken's Rage 2,Tecmo Koei,2013,Fighting,8,WiiU,Traditional,Nintendo,Multi,0.0,0.0,0.02,0.0,0.02
Ontamarama,Atlus,2007,Action,7,DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
Space Station Silicon Valley,Take-Two Interactive,1997,Adventure,5,N64,Traditional,Nintendo,Native,0.12,0.03,0.0,0.0,0.15
X-Men: Mutant Academy 2,Activision,2001,Fighting,5,PS,Traditional,Sony,Native,0.4,0.27,0.0,0.05,0.7200000000000001
Jikkyou Powerful Pro Yakyuu 7,Konami Digital Entertainment,2000,Sports,6,PS2,Traditional,Sony,Native,0.0,0.0,0.35,0.0,0.35
Monsters vs. Aliens,Activision,2009,Action,7,Wii,Traditional,Nintendo,Multi,0.14,0.09,0.0,0.03,0.26
Motor Toon Grand Prix (Japan),Sony Computer Entertainment,1994,Racing,5,PS,Traditional,Sony,Native,0.0,0.0,0.06,0.0,0.06
Harry Potter and the Half-Blood Prince,Electronic Arts,2009,Action,7,PC,PC,PC,Multi,0.0,0.03,0.0,0.01,0.04
Stacked with Daniel Negreanu,Myelin Media,2006,Misc,6,XB,Traditional,Microsoft,Multi,0.02,0.01,0.0,0.0,0.03
"Ni Hao, Kai-lan: New Year's Celebration",Take-Two Interactive,2009,Misc,7,DS,Portable,Nintendo,Native,0.19,0.0,0.0,0.01,0.2
KuruKuru Kururin,Nintendo,2001,Puzzle,6,GBA,Portable,Nintendo,Native,0.0,0.0,0.3,0.01,0.31
NASCAR Thunder 2002,Electronic Arts,2001,Racing,6,PS2,Traditional,Sony,Multi,0.57,0.44,0.0,0.15,1.16
MechAssault 2: Lone Wolf,Microsoft Game Studios,2004,Simulation,6,XB,Traditional,Microsoft,Native,0.27,0.08,0.0,0.01,0.36000000000000004
Jikkyou Oshaberi Parodius,Konami Digital Entertainment,1995,Shooter,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.05,0.0,0.05
Metal Gear Solid V: Ground Zeroes,Konami Digital Entertainment,2014,Action,8,PS4,Traditional,Sony,Multi,0.45,0.46,0.17,0.2,1.28
Final Fantasy Type-0,Square Enix,2015,Role-Playing,8,XOne,Traditional,Microsoft,Multi,0.15,0.07,0.0,0.02,0.24
SimCity Creator,Electronic Arts,2008,Simulation,7,DS,Portable,Nintendo,Multi,0.3,0.03,0.0,0.03,0.36
Haikyu!! Cross Team Match!,Namco Bandai Games,2016,Adventure,8,3DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
Pirates of the Caribbean: Dead Man's Chest,Disney Interactive Studios,2006,Adventure,6,GBA,Portable,Nintendo,Multi,0.33,0.12,0.0,0.01,0.46
Sega Rally Championship 2,Sega,1999,Racing,6,DC,Traditional,Sega,Native,0.0,0.0,0.41,0.0,0.41
Max Payne,Take-Two Interactive,2001,Shooter,6,XB,Traditional,Microsoft,Multi,0.98,0.19,0.0,0.05,1.22
TouchMaster 2,Midway Games,2008,Puzzle,7,DS,Portable,Nintendo,Native,0.3,0.49,0.0,0.1,0.89
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Sega,2004,Misc,6,XB,Traditional,Microsoft,Multi,0.4,0.11,0.0,0.02,0.53
Guitar Hero: Aerosmith,Activision,2008,Misc,7,Wii,Traditional,Nintendo,Multi,1.04,0.14,0.0,0.1,1.2800000000000002
Disney Sing It! High School Musical 3: Senior Year,Disney Interactive Studios,2008,Misc,7,Wii,Traditional,Nintendo,Multi,0.32,0.23,0.0,0.04,0.5900000000000001
How to Train Your Dragon 2,Little Orbit,2014,Adventure,7,PS3,Traditional,Sony,Multi,0.03,0.08,0.0,0.02,0.13
Psychonauts,Majesco Entertainment,2005,Platform,6,PS2,Traditional,Sony,Multi,0.05,0.04,0.0,0.01,0.09999999999999999
Resident Evil: Revelations,Capcom,2013,Action,8,WiiU,Traditional,Nintendo,Multi,0.07,0.08,0.03,0.01,0.19000000000000003
Pro Evolution Soccer 2013,Konami Digital Entertainment,2012,Sports,7,PSP,Portable,Sony,Multi,0.0,0.07,0.18,0.03,0.28
NCAA Football 2005,Electronic Arts,2004,Sports,6,GC,Traditional,Nintendo,Multi,0.17,0.04,0.0,0.01,0.22000000000000003
Gal*Gun,Alchemist,2011,Shooter,7,X360,Traditional,Microsoft,Native,0.0,0.0,0.04,0.0,0.04
Command & Conquer: Red Alert,Virgin Interactive,1997,Strategy,5,PS,Traditional,Sony,Multi,0.23,0.16,0.0,0.03,0.42000000000000004
Lost Heroes,Namco Bandai Games,2012,Role-Playing,8,3DS,Portable,Nintendo,Multi,0.0,0.0,0.09,0.0,0.09
Sleeping Dogs,Square Enix,2012,Action,7,X360,Traditional,Microsoft,Multi,0.38,0.41,0.01,0.08,0.88
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,Unknown,2004,Misc,6,GBA,Portable,Nintendo,Native,0.12,0.04,0.0,0.0,0.16
Battleborn,Take-Two Interactive,2016,Shooter,8,PC,PC,PC,Multi,0.03,0.03,0.0,0.01,0.06999999999999999
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,2003,Platform,6,GC,Traditional,Nintendo,Multi,0.74,0.19,0.0,0.03,0.96
The BIGS,Take-Two Interactive,2007,Sports,6,PS2,Traditional,Sony,Multi,0.25,0.19,0.0,0.06,0.5
Metal Gear Solid VR Missions,Konami Digital Entertainment,1999,Adventure,5,PS,Traditional,Sony,Native,0.66,0.45,0.0,0.08,1.1900000000000002
Dark Cavern,Mattel Interactive,1981,Shooter,2,2600,Traditional,Atari,Native,0.22,0.01,0.0,0.0,0.23
Real Bout Garou Densetsu,SNK,1996,Fighting,5,SAT,Traditional,Sega,Native,0.0,0.0,0.1,0.0,0.1
Backyard Basketball,Atari,2004,Sports,6,GBA,Portable,Nintendo,Native,0.13,0.05,0.0,0.0,0.18
AirForce Delta Storm,Konami Digital Entertainment,2001,Shooter,6,XB,Traditional,Microsoft,Multi,0.14,0.04,0.0,0.01,0.19000000000000003
Dragon Age: Inquisition,Electronic Arts,2014,Role-Playing,8,PS4,Traditional,Sony,Multi,0.72,0.86,0.08,0.32,1.9800000000000002
Microsoft Flight Simulator 2004: A Century of Flight,Microsoft Game Studios,2003,Simulation,6,PC,PC,PC,Native,0.0,0.06,0.0,0.01,0.06999999999999999
Reign of Fire,BAM! Entertainment,2002,Shooter,6,XB,Traditional,Microsoft,Multi,0.07,0.02,0.0,0.0,0.09000000000000001
Fox Sports College Hoops '99,Fox Interactive,1998,Sports,5,N64,Traditional,Nintendo,Native,0.2,0.05,0.0,0.0,0.25
How to Train Your Dragon 2,Little Orbit,2014,Adventure,8,3DS,Portable,Nintendo,Multi,0.04,0.19,0.0,0.02,0.25
Dance Dance Revolution: Hottest Party,Konami Digital Entertainment,2007,Simulation,7,Wii,Traditional,Nintendo,Native,1.36,0.52,0.0,0.2,2.08
Jaws Unleashed,THQ,2006,Action,6,PS2,Traditional,Sony,Multi,0.5,0.02,0.0,0.08,0.6
Tron 2.0: Killer App,Disney Interactive Studios,2004,Action,6,XB,Traditional,Microsoft,Multi,0.04,0.01,0.0,0.0,0.05
The Croods: Prehistoric Party!,D3Publisher,2013,Misc,8,3DS,Portable,Nintendo,Multi,0.01,0.02,0.0,0.0,0.03
Nervous Brickdown,Eidos Interactive,2007,Puzzle,7,DS,Portable,Nintendo,Native,0.0,0.01,0.0,0.0,0.01
TNA iMPACT!,Midway Games,2008,Fighting,6,PS2,Traditional,Sony,Multi,0.1,0.0,0.0,0.12,0.22
Strike Force Bowling,Crave Entertainment,2004,Sports,6,XB,Traditional,Microsoft,Multi,0.03,0.01,0.0,0.0,0.04
Atelier Totori: The Adventurer of Arland,Gust,2012,Role-Playing,8,PSV,Portable,Sony,Multi,0.0,0.0,0.09,0.0,0.09
Odin Sphere,Square Enix,2007,Role-Playing,6,PS2,Traditional,Sony,Native,0.23,0.18,0.09,0.06,0.56
Konami Classics Series: Arcade Hits,Konami Digital Entertainment,2007,Misc,7,DS,Portable,Nintendo,Native,0.01,0.0,0.02,0.0,0.03
Sentouchu: Densetsu no Shinobi to Survival Battle!,Namco Bandai Games,2013,Action,8,3DS,Portable,Nintendo,Native,0.0,0.0,0.35,0.0,0.35
Icewind Dale II,Interplay,2002,Role-Playing,6,PC,PC,PC,Native,0.0,0.01,0.0,0.0,0.01
SBK 2011: FIM Superbike World Championship,Black Bean Games,2011,Racing,7,PC,PC,PC,Multi,0.0,0.03,0.0,0.01,0.04
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Konami Digital Entertainment,2009,Action,7,DS,Portable,Nintendo,Native,0.27,0.01,0.09,0.03,0.4
Sengoku Basara 3 Utage,Capcom,2011,Action,7,Wii,Traditional,Nintendo,Multi,0.0,0.0,0.13,0.0,0.13
Dancing With The Stars,Activision,2007,Misc,6,PS2,Traditional,Sony,Multi,0.08,0.06,0.0,0.02,0.16
NBA 2K11,Take-Two Interactive,2010,Action,6,PS2,Traditional,Sony,Multi,0.34,0.01,0.0,0.06,0.41000000000000003
Titan Quest,THQ,2006,Role-Playing,7,PC,PC,PC,Native,0.01,0.04,0.0,0.01,0.060000000000000005
Illusion of Gaia,Nintendo,1993,Role-Playing,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.13,0.0,0.13
Rock Band Unplugged,MTV Games,2009,Misc,7,PSP,Portable,Sony,Native,0.24,0.15,0.0,0.1,0.49
The Spiderwick Chronicles,Vivendi Games,2008,Action,7,X360,Traditional,Microsoft,Multi,0.09,0.01,0.0,0.01,0.10999999999999999
NFL 2K3,Sega,2002,Sports,6,XB,Traditional,Microsoft,Multi,0.38,0.11,0.0,0.02,0.51
Lock's Quest,THQ,2008,Strategy,7,DS,Portable,Nintendo,Native,0.08,0.0,0.0,0.01,0.09
MLB SlugFest 20-04,Midway Games,2003,Sports,6,PS2,Traditional,Sony,Multi,0.26,0.2,0.0,0.07,0.53
Stella Glow,Atlus,2015,Role-Playing,8,3DS,Portable,Nintendo,Native,0.16,0.01,0.05,0.02,0.24000000000000002
Sprint Cars: Road to Knoxville,THQ,2005,Racing,6,PS2,Traditional,Sony,Native,0.03,0.03,0.0,0.01,0.06999999999999999
LEGO Star Wars: The Video Game,Eidos Interactive,2005,Action,6,PS2,Traditional,Sony,Multi,1.98,1.14,0.01,0.41,3.54
What's Cooking? Jamie Oliver,Atari,2008,Simulation,7,DS,Portable,Nintendo,Native,0.2,0.01,0.0,0.02,0.23
Marvel Super Hero Squad: Comic Combat,THQ,2011,Action,7,X360,Traditional,Microsoft,Multi,0.13,0.04,0.0,0.01,0.18000000000000002
To Heart 2: Dungeon Travelers,Aqua Plus,2011,Adventure,7,PSP,Portable,Sony,Multi,0.0,0.0,0.11,0.0,0.11
Monster Rancher DS,Tecmo Koei,2008,Role-Playing,7,DS,Portable,Nintendo,Native,0.08,0.0,0.05,0.01,0.14
Lemony Snicket's A Series of Unfortunate Events,Activision,2004,Platform,6,GC,Traditional,Nintendo,Multi,0.2,0.05,0.0,0.01,0.26
3D Dot Game Heroes,SouthPeak Games,2009,Role-Playing,7,PS3,Traditional,Sony,Native,0.36,0.12,0.03,0.07,0.5800000000000001
Kinect Star Wars,Microsoft Game Studios,2012,Action,7,X360,Traditional,Microsoft,Native,1.05,0.57,0.03,0.14,1.79
Natalie Brooks: Mystery at Hillcrest High,Licensed 4U,2012,Action,7,DS,Portable,Nintendo,Native,0.0,0.02,0.0,0.0,0.02
Ennichi no Tatsujin,Namco Bandai Games,2006,Misc,7,Wii,Traditional,Nintendo,Native,0.0,0.0,0.1,0.0,0.1
Ultimate Marvel vs. Capcom 3,Capcom,2011,Fighting,7,X360,Traditional,Microsoft,Multi,0.0,0.03,0.04,0.0,0.07
Tomb Raider: Anniversary,Eidos Interactive,2007,Action,7,PSP,Portable,Sony,Multi,0.21,0.23,0.0,0.13,0.5700000000000001
Dawn of Discovery,Ubisoft,2009,Simulation,7,DS,Portable,Nintendo,Multi,0.07,0.03,0.0,0.01,0.11
Lunar: Silver Star Story,Kadokawa Shoten,1996,Role-Playing,5,SAT,Traditional,Sega,Native,0.0,0.0,0.23,0.0,0.23
Reel Fishing Paradise 3D,Marvelous Interactive,2011,Sports,8,3DS,Portable,Nintendo,Native,0.12,0.0,0.06,0.01,0.19
Dream Salon,Zoo Games,2009,Misc,7,Wii,Traditional,Nintendo,Multi,0.05,0.0,0.0,0.0,0.05
My Word Coach,Ubisoft,2007,Misc,7,DS,Portable,Nintendo,Multi,0.37,0.9,0.0,0.18,1.45
Marvel Avengers: Battle for Earth,Ubisoft,2012,Action,7,X360,Traditional,Microsoft,Multi,0.02,0.0,0.0,0.0,0.02
de Blob 2,THQ,2011,Platform,7,X360,Traditional,Microsoft,Multi,0.1,0.04,0.0,0.01,0.15000000000000002
Skies of Arcadia Legends,Atari,2002,Role-Playing,6,GC,Traditional,Nintendo,Native,0.17,0.04,0.0,0.01,0.22000000000000003
Learn Science,DreamCatcher Interactive,2010,Misc,7,DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
Jinsei Game DS,Atlus,2006,Misc,7,DS,Portable,Nintendo,Native,0.0,0.0,0.02,0.0,0.02
Petz Rescue: Ocean Patrol,Ubisoft,2008,Adventure,7,DS,Portable,Nintendo,Native,0.35,0.0,0.0,0.03,0.38
The Amazing Spider-Man 2 (2014),Activision,2014,Action,7,X360,Traditional,Microsoft,Multi,0.1,0.14,0.0,0.02,0.26
Burnout 2: Point of Impact,Acclaim Entertainment,2002,Racing,6,PS2,Traditional,Sony,Multi,0.42,0.32,0.0,0.11,0.85
Junior Brain Trainer 2,GSP,2010,Misc,7,DS,Portable,Nintendo,Native,0.04,0.21,0.0,0.04,0.29
Assassin's Creed III,Ubisoft,2012,Action,7,PS3,Traditional,Sony,Multi,2.64,2.56,0.16,1.14,6.5
Big Bass Fishing,Take-Two Interactive,2002,Action,5,PS,Traditional,Sony,Native,0.0,0.0,0.02,0.0,0.02
Magical Starsign (JP sales),Nintendo,2006,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
